#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2026-08-02-12-48-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1785655467.208798	CPMqXO1NZx7Gb0mTo8	192.168.1.3	60216	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655467.208639	0
1785655471.824101	Cde1vu3UrlZV7bUkeb	192.168.1.3	59942	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655471.823909	0
1785655476.672806	CCnaN54AtL5bskdqE6	192.168.1.3	60668	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655476.672584	0
1785655480.753063	CJxgFx66HO3g6JJgc	192.168.1.3	57715	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655480.752841	0
1785655485.699113	CvPejmiW2MVAFmenb	192.168.1.3	59875	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655485.698897	0
1785655490.521182	CLXEDm41eO148KQzUc	192.168.1.3	50212	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655490.521051	0
1785655527.206978	CyAnNHCCN0G4reKPf	192.168.1.3	59697	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655527.206872	0
1785655531.778582	CQyiVA2LTOEr9d4QC2	192.168.1.3	64690	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655531.778366	0
1785655536.075946	C3rXfd3cP04F0ABFO5	192.168.1.3	60307	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655536.075824	0
1785655540.776464	ClH8ta4CGFlG1BHtz3	192.168.1.3	62203	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655540.776324	0
1785655545.577077	CarTJG3kgKiS1gHB8	192.168.1.3	56726	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655545.576968	0
1785655550.111337	CgP1rV27oSLksgbC07	192.168.1.3	58182	162.159.200.123	123	4	3	0	1.000000	1.000000	0.000000	0.000000	\x00\x00\x00\x00	0.000000	0.000000	0.000000	1785655550.111158	0
